City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,13.48,65,75,5.14,AU,1670279408
1,tasiilaq,65.6145,-37.6368,-3.91,62,24,2.2,GL,1670279624
2,bredasdorp,-34.5322,20.0403,14.09,70,100,0.86,ZA,1670279625
3,rikitea,-23.1203,-134.9692,24.25,80,96,6.56,PF,1670279625
4,changji,44.0167,87.3167,-10.56,79,0,2.0,CN,1670279626
5,lukulu,-14.3707,23.242,20.02,77,34,3.57,ZM,1670279626
6,avallon,47.4833,3.9,3.59,94,100,1.11,FR,1670279627
7,qaanaaq,77.484,-69.3632,1.08,85,100,6.65,GL,1670279627
8,arraial do cabo,-22.9661,-42.0278,23.32,87,100,9.06,BR,1670279628
9,provideniya,64.3833,-173.3,0.2,80,100,14.0,RU,1670279628
10,mahebourg,-20.4081,57.7,24.16,88,75,4.63,MU,1670279629
11,yellowknife,62.456,-114.3525,-31.36,68,20,4.63,CA,1670279629
12,mar del plata,-38.0023,-57.5575,28.79,79,0,8.94,AR,1670279403
13,ushuaia,-54.8,-68.3,6.81,53,40,9.26,AR,1670279501
14,lagoa,39.05,-27.9833,16.29,71,100,9.34,PT,1670279630
15,sisimiut,66.9395,-53.6735,0.95,73,100,5.83,GL,1670279470
16,severo-kurilsk,50.6789,156.125,-4.3,74,97,9.6,RU,1670279631
17,new norfolk,-42.7826,147.0587,13.29,58,93,1.34,AU,1670279631
18,codrington,-38.2667,141.9667,14.8,62,15,4.99,AU,1670279632
19,kloulklubed,7.0419,134.2556,25.28,76,80,5.19,PW,1670279632
20,rawson,-43.3002,-65.1023,31.16,15,0,10.8,AR,1670279633
21,gatesville,31.4352,-97.7439,25.18,61,0,6.94,US,1670279633
22,punta arenas,-53.15,-70.9167,9.06,43,75,8.75,CL,1670279540
23,puerto ayora,-0.7393,-90.3518,24.98,89,57,2.68,EC,1670279480
24,avera,33.194,-82.5271,10.77,98,100,2.9,US,1670279421
25,camacupa,-12.0167,17.4833,16.01,97,68,1.3,AO,1670279634
26,pandan,14.0453,124.1694,25.65,81,100,3.24,PH,1670279635
27,usinsk,65.9939,57.5281,-16.66,94,74,6.82,RU,1670279635
28,glendive,47.1053,-104.7125,-6.95,88,100,5.66,US,1670279636
29,kungalv,57.871,11.9805,1.17,84,65,2.29,SE,1670279616
30,busselton,-33.65,115.3333,15.77,61,0,6.33,AU,1670279636
31,oistins,13.0667,-59.5333,25.05,78,40,2.57,BB,1670279637
32,geraldton,-28.7667,114.6,19.23,82,40,4.63,AU,1670279484
33,christchurch,-43.5333,172.6333,22.11,43,30,4.12,NZ,1670279205
34,torbay,47.6666,-52.7314,4.21,96,100,0.0,CA,1670279638
35,tabas,33.5959,56.9244,6.12,49,32,0.0,IR,1670279638
36,indianola,41.3581,-93.5574,5.27,56,100,2.24,US,1670279639
37,cape town,-33.9258,18.4232,17.28,69,0,6.17,ZA,1670279517
38,baykit,61.67,96.37,-17.35,97,93,2.33,RU,1670279639
39,piranshahr,36.701,45.1413,0.34,82,90,1.13,IR,1670279640
40,karachev,53.1229,34.9852,-8.65,80,100,3.11,RU,1670279640
41,hithadhoo,-0.6,73.0833,27.26,77,95,3.86,MV,1670279641
42,lensk,60.7253,114.9278,-10.95,94,100,4.5,RU,1670279642
43,pingzhuang,42.0372,119.2889,-10.88,39,0,2.13,CN,1670279643
44,laguna,38.421,-121.4238,15.99,66,75,3.6,US,1670279643
45,arlit,18.7369,7.3853,25.32,16,97,2.48,NE,1670279645
46,yumen,40.2833,97.2,-9.89,88,100,0.11,CN,1670279645
47,damavand,35.7178,52.065,-2.76,96,100,0.84,IR,1670279484
48,sao filipe,14.8961,-24.4956,22.55,67,30,2.53,CV,1670279650
49,mataura,-46.1927,168.8643,10.27,67,97,1.84,NZ,1670279651
50,kruisfontein,-34.0033,24.7314,13.82,87,22,3.7,ZA,1670279652
51,szomod,47.6849,18.3406,6.86,89,100,3.39,HU,1670279654
52,saint anthony,45.0205,-93.218,-2.03,69,100,6.69,US,1670279437
53,myanaung,18.2833,95.3167,21.49,75,38,2.95,MM,1670279655
54,port alfred,-33.5906,26.891,13.99,95,1,0.89,ZA,1670279656
55,nanakuli,21.3906,-158.1547,27.97,53,20,0.0,US,1670279657
56,haines junction,60.7522,-137.5108,-10.17,96,98,0.83,CA,1670279473
57,albany,42.6001,-73.9662,5.23,50,100,3.01,US,1670279379
58,kahului,20.8947,-156.47,28.01,68,20,7.2,US,1670279662
59,constitucion,-35.3333,-72.4167,16.44,70,5,6.42,CL,1670279457
60,ulfborg,56.2673,8.3217,1.2,72,100,2.42,DK,1670279664
61,mindelo,16.8901,-24.9804,21.75,60,40,3.09,CV,1670279666
62,krasnaya gorka,55.1962,56.6673,-22.61,100,23,0.68,RU,1670279666
63,russell,32.3502,-85.1999,19.78,73,20,2.57,US,1670279667
